station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
EWR,2023-01-01 00:51,53.00,51.00,92.89,220.00,6.00,T,29.75,1007.20,3.00,M,BKN,BKN,OVC,M,600.00,4700.00,12000.00,M,-RA BR,M,M,M,M,M,M,53.10,KEWR 010551Z 22006KT 3SM -RA BR BKN006 BKN047 OVC120 12/11 A2975 RMK AO2 RAE19B48 SLP072 P0000 60021 T01170106 10122 20106 55012,M
EWR,2023-01-01 01:36,52.00,50.00,92.86,230.00,7.00,T,29.74,M,5.00,M,SCT,SCT,BKN,OVC,600.00,4700.00,12000.00,25000.00,BR,M,M,M,M,M,M,52.00,KEWR 010636Z 23007KT 5SM BR SCT006 SCT047 BKN120 OVC250 11/10 A2974 RMK AO2 RAE35 P0000 T01110100,M
EWR,2023-01-01 01:51,51.00,49.00,92.14,210.00,5.00,T,29.75,1007.20,5.00,M,FEW,SCT,BKN,OVC,600.00,4700.00,12000.00,25000.00,BR,M,M,M,M,M,M,51.10,KEWR 010651Z 21005KT 5SM BR FEW006 SCT047 BKN120 OVC250 11/09 A2975 RMK AO2 RAE35 SLP072 P0000 T01060094,M
EWR,2023-01-01 02:51,49.00,47.00,92.77,210.00,5.00,0.00,29.77,1008.10,4.00,M,FEW,SCT,BKN,BKN,900.00,4000.00,12000.00,25000.00,BR,M,M,M,M,M,M,46.47,KEWR 010751Z 21005KT 4SM BR FEW009 SCT040 BKN120 BKN250 09/08 A2977 RMK AO2 SLP081 T00940083,M
EWR,2023-01-01 03:51,48.00,46.00,92.74,220.00,4.00,0.00,29.78,1008.40,5.00,M,FEW,SCT,BKN,BKN,900.00,4000.00,12000.00,25000.00,BR,M,M,M,M,M,M,46.10,KEWR 010851Z 22004KT 5SM BR FEW009 SCT040 BKN120 BKN250 09/08 A2978 RMK AO2 SLP084 60000 T00890078 53012,M
EWR,2023-01-01 04:51,49.00,47.00,92.77,200.00,7.00,0.00,29.80,1008.90,5.00,M,FEW,FEW,BKN,M,1000.00,12000.00,25000.00,M,BR,M,M,M,M,M,M,45.38,KEWR 010951Z 20007KT 5SM BR FEW010 FEW120 BKN250 09/08 A2980 RMK AO2 SLP089 T00940083,M
EWR,2023-01-01 05:51,48.00,46.00,92.74,220.00,9.00,0.00,29.82,1009.80,7.00,M,FEW,FEW,BKN,M,3500.00,12000.00,25000.00,M,M,M,M,M,M,M,M,43.41,KEWR 011051Z 22009KT 7SM FEW035 FEW120 BKN250 09/08 A2982 RMK AO2 SLP098 T00890078,M
EWR,2023-01-01 06:51,48.00,46.00,92.74,230.00,8.00,0.00,29.85,1010.60,8.00,M,FEW,SCT,M,M,1500.00,25000.00,M,M,M,M,M,M,M,M,M,43.82,KEWR 011151Z 23008KT 8SM FEW015 SCT250 09/08 A2985 RMK AO2 SLP106 60000 70026 T00890078 10117 20078 53021,M
EWR,2023-01-01 07:51,47.00,44.00,89.92,220.00,9.00,0.00,29.88,1011.60,7.00,M,FEW,SCT,BKN,M,2000.00,15000.00,25000.00,M,M,M,M,M,M,M,M,42.04,KEWR 011251Z 22009KT 7SM FEW020 SCT150 BKN250 08/07 A2988 RMK AO2 PRESRR SLP116 T00830067,M
EWR,2023-01-01 08:51,51.00,46.00,82.62,220.00,5.00,0.00,29.89,1012.10,10.00,M,FEW,FEW,BKN,M,2500.00,15000.00,25000.00,M,M,M,M,M,M,M,M,51.10,KEWR 011351Z 22005KT 10SM FEW025 FEW150 BKN250 11/08 A2989 RMK AO2 SLP121 T01060078,M
EWR,2023-01-01 09:51,54.00,43.00,66.24,280.00,10.00,0.00,29.93,1013.60,10.00,M,FEW,FEW,BKN,M,3000.00,15000.00,25000.00,M,M,M,M,M,M,M,M,54.00,KEWR 011451Z 28010KT 10SM FEW030 FEW150 BKN250 12/06 A2993 RMK AO2 SLP136 T01220061 53030,M
EWR,2023-01-01 10:51,55.00,41.00,59.13,280.00,13.00,0.00,29.95,1014.00,10.00,M,SCT,SCT,BKN,M,3000.00,15000.00,25000.00,M,M,M,M,M,M,M,M,55.00,KEWR 011551Z 28013KT 10SM SCT030 SCT150 BKN250 13/05 A2995 RMK AO2 SLP140 T01280050,M
EWR,2023-01-01 11:51,56.00,38.00,50.71,300.00,8.00,0.00,29.93,1013.30,10.00,M,FEW,SCT,SCT,M,3000.00,15000.00,25000.00,M,M,M,M,M,M,M,M,55.90,KEWR 011651Z 30008KT 10SM FEW030 SCT150 SCT250 13/03 A2993 RMK AO2 SLP133 T01330033,M
EWR,2023-01-01 12:51,56.00,35.00,45.40,280.00,16.00,0.00,29.93,1013.60,10.00,M,FEW,FEW,FEW,M,3300.00,15000.00,25000.00,M,M,M,M,M,M,M,M,55.90,KEWR 011751Z 28016KT 10SM FEW033 FEW150 FEW250 13/02 A2993 RMK AO2 SLP136 T01330017 10139 20072 58000,M
EWR,2023-01-01 13:51,57.00,33.00,40.28,280.00,10.00,0.00,29.93,1013.30,10.00,M,FEW,FEW,SCT,M,3500.00,13000.00,25000.00,M,M,M,M,M,M,M,M,57.00,KEWR 011851Z 28010KT 10SM FEW035 FEW130 SCT250 14/01 A2993 RMK AO2 SLP133 T01390006,M
EWR,2023-01-01 14:51,57.00,32.00,38.54,310.00,9.00,0.00,29.94,1013.70,10.00,M,FEW,SCT,BKN,M,4000.00,15000.00,25000.00,M,M,M,M,M,M,M,M,57.00,KEWR 011951Z 31009KT 10SM FEW040 SCT150 BKN250 14/00 A2994 RMK AO2 SLP137 T01390000,M
